,forecast,true
0,4,3
1,4,3
2,1,1
3,1,1
4,1,4
5,4,2
6,2,1
7,4,3
8,4,2
9,2,1
10,3,4
11,1,2
12,4,3
13,3,3
14,4,4
15,3,3
16,3,4
17,3,3
18,4,4
19,4,1
20,1,2
21,3,1
22,4,4
23,1,4
24,3,1
25,2,2
26,1,2
27,3,3
28,4,1
29,1,3
30,3,4
31,3,3
32,1,2
33,1,2
34,3,3
35,2,1
36,3,2
37,4,2
38,4,2
39,1,2
40,4,3
41,1,1
42,3,4
43,3,1
44,3,2
45,2,2
46,3,4
47,2,2
48,2,2
49,2,2
50,2,2
51,1,4
52,1,2
53,2,1
54,4,2
55,2,2
56,3,2
57,4,4
58,4,2
59,4,4
60,3,4
61,4,4
62,3,4
63,2,2
64,4,2
65,4,1
66,4,4
67,2,2
68,4,2
69,4,2
70,4,4
71,4,2
72,4,4
73,2,4
74,4,1
75,1,2
76,1,2
77,2,4
78,4,2
79,2,2
80,2,2
81,2,2
82,2,4
83,1,2
84,2,4
85,4,4
86,2,3
87,2,2
88,2,2
89,2,2
90,1,2
91,2,1
92,4,4
93,4,2
94,2,2
95,3,2
96,3,4
97,2,4
98,2,4
99,4,2
100,2,1
101,2,4
102,2,4
103,2,4
104,2,2
105,2,2
106,2,4
107,2,3
108,2,4
109,2,3
110,2,3
111,2,2
112,2,1
113,2,3
114,2,4
115,2,1
116,2,4
117,4,4
118,4,2
119,3,4
120,4,2
121,4,1
122,2,2
123,4,2
124,2,4
125,2,2
126,4,4
127,1,4
128,3,3
129,1,2
130,2,4
131,4,4
132,2,2
133,2,4
134,2,3
135,2,4
136,2,4
137,1,3
138,2,4
139,3,1
140,3,2
141,2,2
142,4,2
143,4,4
144,2,1
145,4,3
146,4,4
147,4,3
148,4,2
149,4,2
150,2,1
151,2,4
152,4,2
153,4,3
154,1,1
155,4,4
156,4,1
157,1,1
158,4,2
159,1,2
160,4,4
161,3,3
162,4,2
163,4,3
164,1,2
165,4,2
166,2,4
167,1,1
168,2,2
169,4,2
170,2,4
171,2,4
172,2,4
173,2,4
174,4,4
175,1,4
176,3,1
177,2,4
178,1,2
179,4,2
180,4,2
181,2,3
182,4,4
183,2,4
184,3,4
185,4,1
186,1,1
187,1,4
188,4,4
189,4,4
190,2,4
191,4,1
192,2,2
193,2,2
194,3,2
